num_of_samples,random_num,cas_number,pred_value,real_value,error_value
10,0,107-04-0,-4.800656045,-3.1,1.700656045
10,1,1979/1/6,-7.123494397,-3.8,3.323494397
10,2,100-75-4,-8.223206847,-5.9,2.323206847
10,3,78-86-4,-6.090265128,-4,2.090265128
10,4,77-47-4,-9.310956686,-5.4,3.910956686
10,5,90-39-1,-8.139410447,-8.4,0.260589553
10,6,475-25-2,-6.570516337,-6.8,0.229483663
10,7,79-41-4,-9.239750705,-4.7,4.539750705
10,8,95-63-6,-8.5457476,-6.8,1.7457476
10,9,19550-30-2,-6.822514428,-4.7,2.122514428
10,10,65-71-4,-7.130856272,-6,1.130856272
10,11,76-74-4,-7.145564318,-7.5,0.354435682
10,12,102-82-9,-8.068308149,-6.2,1.868308149
10,13,462-06-6,-6.659334985,-5.6,1.059334985
10,14,2235-90-7,-5.545606398,-8.4,2.854393602
10,15,123-96-6,-6.529623949,-5.5,1.029623949
10,16,54-85-3,-7.581112738,-6,1.581112738
10,17,99-96-7,-4.279763034,-6.4,2.120236966
10,18,50-48-6,-7.930900227,10.6,18.53090023
10,19,1678-91-7,-7.428961401,-6.1,1.328961401
20,0,114-26-1,-6.397446308,-7.7,1.302553692
20,1,208-96-8,-7.889334719,-7.8,0.089334719
20,2,78-70-6,-5.524378902,-6.6,1.075621098
20,3,85-41-6,-8.465433331,-7.6,0.865433331
20,4,95-95-4,-8.635740805,-6.1,2.535740805
20,5,78-70-6,-9.33934264,-6.6,2.73934264
20,6,4911-70-0,-8.650488906,-5.4,3.250488906
20,7,76-14-2,-7.222317824,-5.2,2.022317824
20,8,105-55-5,-8.553651579,-4.4,4.153651579
20,9,99-96-7,-6.145,-6.4,0.255
20,10,3766-60-7,-7.775272073,-7.3,0.475272073
20,11,65-86-1,-5.927534613,-6.1,0.172465387
20,12,1960/12/8,-7.443322198,-6.4,1.043322198
20,13,123-38-6,-7.993106887,-3.5,4.493106887
20,14,104-46-1,-7.939166485,-6.8,1.139166485
20,15,97-59-6,-8.766696138,-6.1,2.666696138
20,16,129-00-0,-6.01440937,-7.5,1.48559063
20,17,584-02-1,-6.743095443,-4.4,2.343095443
20,18,69-72-7,-8.330445426,-6.9,1.430445426
20,19,538-32-9,-7.983811212,-7.3,0.683811212
30,0,614-28-8,-8.505744548,-8.7,0.194255452
30,1,591-07-1,-6.290015453,-4.8,1.490015453
30,2,126-07-8,-7.176666592,-4.7,2.476666592
30,3,71-00-1,-8.906848462,-5.9,3.006848462
30,4,957-51-7,-6.863629595,-9.4,2.536370405
30,5,142-29-0,-7.588023456,-4.8,2.788023456
30,6,62-56-6,-8.625598411,-2.8,5.825598411
30,7,36653-82-4,-7.521464923,-6.6,0.921464923
30,8,@57-48-7,-6.109292441,-5,1.109292441
30,9,87-20-7,-8.38576797,-8,0.38576797
30,10,95-63-6,-8.378286812,-6.8,1.578286812
30,11,105-66-8,-6.246775113,-5.6,0.646775113
30,12,70-69-9,-8.034648178,-7,1.034648178
30,13,2432-21-5,-6.581329509,-6.4,0.181329509
30,14,79-34-5,-5.972250692,-4,1.972250692
30,15,608-93-5,-7.3328876,-5.5,1.8328876
30,16,583-53-9,-6.529850614,-6.1,0.429850614
30,17,111-71-7,-6.686365035,-4.9,1.786365035
30,18,708-79-2,-6.837470777,-7,0.162529223
30,19,1994/12/2,-8.197331329,-7.6,0.597331329
40,0,691-37-2,-9.111388612,-4.4,4.711388612
40,1,60168-88-9,-6.886097141,-9.3,2.413902859
40,2,72-43-5,-5.906489132,-6.3,0.393510868
40,3,38380-02-8,-6.080218202,-6.4,0.319781798
40,4,238-84-6,-4.807824646,-7.8,2.992175354
40,5,608-21-9,-9.334670789,-5.5,3.834670789
40,6,60-87-7,-8.619281956,-8.2,0.419281956
40,7,85-41-6,-8.777108363,-7.6,1.177108363
40,8,357-57-3,-5.870133798,-5.8,0.070133798
40,9,38380-02-8,-9.391663663,-6.4,2.991663663
40,10,614-28-8,-8.10355349,-8.7,0.59644651
40,11,100-55-0,-8.103449657,-5.3,2.803449657
40,12,474-86-2,-7.142870728,-6,1.142870728
40,13,131-17-9,-6.648939181,-8.4,1.751060819
40,14,111-44-4,-8.487416985,-4.1,4.387416985
40,15,123-86-4,-5.827682102,-5.2,0.627682102
40,16,123-66-0,-7.136342463,-5.7,1.436342463
40,17,91-81-6,-6.03020008,-8.6,2.56979992
40,18,584-02-1,-6.474421629,-4.4,2.074421629
40,19,289-80-5,-7.128196883,-4.4,2.728196883
50,0,51940-44-4,-7.622795549,-7.8,0.177204451
50,1,122-88-3,-6.705912775,-6.5,0.205912775
50,2,76-14-2,-7.109369445,-5.2,1.909369445
50,3,1999/3/6,-6.12899968,-6.7,0.57100032
50,4,583-58-4,-6.807373469,-5.7,1.107373469
50,5,103-69-5,-8.786483053,-6.4,2.386483053
50,6,62-56-6,-7.610771978,-2.8,4.810771978
50,7,109-60-4,-7.66845424,-4.7,2.96845424
50,8,613-12-7,-6.100307437,-8.1,1.999692563
50,9,84-65-1,-7.326019842,-6.9,0.426019842
50,10,4248-20-8,-6.564590918,-5.9,0.664590918
50,11,598-75-4,-5.907665076,-4.5,1.407665076
50,12,129-00-0,-6.804005526,-7.5,0.695994474
50,13,87-20-7,-6.535083495,-8,1.464916505
50,14,18259-05-7,-7.206749262,-4.6,2.606749262
50,15,616-44-4,-9.105461683,-4.5,4.605461683
50,16,13698-49-2,-6.539730538,-5.9,0.639730538
50,17,591-07-1,-6.37230192,-4.8,1.57230192
50,18,118-91-2,-6.814272153,-6.8,0.014272153
50,19,53-16-7,-6.029327372,-5.8,0.229327372
