,str_ID,affinity
1050,89-78-1,-6.7
1051,89-83-8,-7.0
1052,90-00-6,-6.6
1053,90-01-7,-6.5
1054,90-02-8,-6.3
1055,90-05-1,-6.0
1056,90-11-9,-8.2
1057,90-12-0,-8.4
1058,90-13-1,-8.2
1059,90-15-3,-7.8
1060,90-39-1,-8.4
1061,90-43-7,-7.7
1062,91-01-0,-9.7
1063,91-15-6,-7.1
1064,91-18-9,-5.6
1065,91-20-3,-7.8
1066,91-22-5,-7.4
1067,91-57-6,-8.2
1068,91-58-7,-8.0
1069,91-64-5,-7.8
1070,91-66-7,-6.9
1071,91-75-8,-9.4
1072,91-80-5,-7.5
1073,91-81-6,-8.6
1074,91-94-1,-7.5
1075,92-24-0,-8.2
1076,92-36-4,-7.8
1077,92-52-4,-7.6
1078,92-69-3,-7.9
1079,92-87-5,-6.8
1080,92-94-4,-9.0
1081,93-37-8,-7.6
1082,93-55-0,-7.1
1083,93-58-3,-6.7
1084,93-60-7,-5.8
1085,93-65-2,-7.5
1086,93-76-5,-6.9
1087,93-89-0,-7.1
1088,936-40-3,-6.0
1089,939-27-5,-8.4
1090,94-12-2,-7.6
1091,94-23-5,-6.9
1092,94-26-8,-8.0
1093,94-62-2,-9.2
1094,94-74-6,-7.1
1095,94-75-7,-6.9
1096,94-82-6,-7.5
1097,94-96-2,-5.8
1098,95-06-7,-5.3
1099,95-14-7,-6.8
1100,95-16-9,-6.5
1101,95-47-6,-6.4
1102,95-48-7,-6.2
1103,95-49-8,-6.3
1104,95-50-1,-6.0
1105,95-51-2,-6.1
1106,95-53-4,-6.2
1107,95-54-5,-5.8
1108,95-55-6,-5.8
1109,95-57-8,-6.1
1110,95-63-6,-6.8
1111,95-65-8,-6.8
1112,95-76-1,-6.1
1113,95-87-4,-6.5
1114,95-95-4,-6.1
1115,957-51-7,-9.4
1116,96-09-3,-6.4
1117,96-12-8,-3.8
1118,96-14-0,-4.5
1119,96-18-4,-3.9
1120,96-23-1,-4.0
1121,96-33-3,-4.2
1122,96-37-7,-5.1
1123,96-45-7,-3.7
1124,96-47-9,-4.4
1125,96-48-0,-4.7
1126,96-50-4,-3.8
1127,96-88-8,-6.5
1128,97-23-4,-7.6
1129,97-53-0,-6.6
1130,97-59-6,-6.1
1131,97-77-8,-4.9
1132,97-95-0,-4.7
1133,977-79-7,-6.1
1134,98-01-1,-5.0
1135,98-06-6,-7.3
1136,98-16-8,-7.3
1137,98-54-4,-7.6
1138,98-82-8,-6.8
1139,98-85-1,-6.9
1140,98-86-2,-6.8
1141,98-89-5,-6.2
1142,98-92-0,-5.8
1143,98-96-4,-5.1
1144,99-03-6,-6.7
1145,99-04-7,-6.8
1146,99-24-1,-6.4
1147,99-66-1,-5.7
1148,99-76-3,-6.7
1149,99-87-6,-7.0
1150,99-92-3,-6.7
1151,99-94-5,-6.6
1152,99-96-7,-6.4
1153,@57-48-7,-5.0
