num_of_samples,random_num,cas_number,pred_value,real_value,error_value
30,4,598-75-4,-6.08588882545,-4.5,1.58588882545
30,5,100-52-7,-7.99710918353,-6.1,1.89710918353
30,6,475-25-2,-9.4055605745,-6.8,2.6055605745
30,7,538-32-9,-6.93058112336,-7.3,0.369418876641
30,8,608-93-5,-8.30726427878,-5.5,2.80726427878
30,9,38380-02-8,-8.04464883214,-6.4,1.64464883214
30,10,36330-85-5,-8.94543158915,-8.3,0.645431589153
30,11,137-26-8,-6.69111779208,-4.1,2.59111779208
30,12,51940-44-4,-7.95685781101,-7.8,0.156857811012
30,13,66-02-4,-7.45167861476,-6.6,0.851678614762
30,14,51940-44-4,-6.60177514027,-7.8,1.19822485973
30,15,60-87-7,-7.36333088287,-8.2,0.836669117129
30,16,217-59-4,-6.78965292886,-8.5,1.71034707114
30,17,32598-11-1,-7.86230315724,-7.3,0.562303157236
30,18,38380-02-8,-7.2997004756,-6.4,0.899700475603
30,19,120-36-5,-9.17951065129,-7.2,1.97951065129
30,20,51-21-8,-6.19310589416,-5.5,0.693105894155
30,21,111-86-4,-7.26573498849,-5.3,1.96573498849
30,22,591-07-1,-6.3417497152,-4.8,1.5417497152
30,23,1918-16-7,-7.51429238534,-6.1,1.41429238534
30,24,122-88-3,-7.37807514996,-6.5,0.878075149955
30,25,495-69-2,-8.18328183785,-7.4,0.783281837845
30,26,97-59-6,-6.73776063559,-6.1,0.63776063559
30,27,120-80-9,-8.66881892706,-5.8,2.86881892706
30,28,624-24-8,-7.02837150216,-5.1,1.92837150216
30,29,112-05-0,-9.58350539887,-6.1,3.48350539887
30,30,78-77-3,-8.74317456989,-3.7,5.04317456989
30,31,352-34-1,-9.85124215074,-5.8,4.05124215074
30,32,15299-99-7,-6.03518056812,-8.2,2.16481943188
30,33,57-43-2,-7.49311521161,-7.7,0.206884788393
30,34,3424-82-6,-7.39057016049,-7.2,0.190570160493
30,35,57-13-6,-7.8083252801,-3.5,4.3083252801
30,36,58-39-9,-5.92965888097,-8.9,2.97034111903
30,37,142-92-7,-6.77841001832,-5.7,1.07841001832
30,38,5836-10-2,-6.13216956937,-8.6,2.46783043063
30,39,72-48-0,-7.73988417546,-7.4,0.339884175458
30,40,110-74-7,-9.57302567287,-4.1,5.47302567287
30,41,4516-69-2,-7.0535587114,-5.6,1.4535587114
30,42,461-58-5,-7.25330037459,-4.2,3.05330037459
30,43,357-57-3,-6.25295765897,-5.8,0.452957658967
30,44,1125-78-6,-7.9286211711,-7.8,0.128621171101
30,45,79-34-5,-7.06432928826,-4.0,3.06432928826
30,46,50-32-8,-7.38084588738,-7.0,0.380845887385
30,47,137-26-8,-6.19159298275,-4.1,2.09159298275
30,48,50-24-8,-6.33354097582,-5.1,1.23354097582
30,49,62-56-6,-8.36339600931,-2.8,5.56339600931
40,0,50-71-5,-5.88307948769,-5.7,0.183079487691
40,1,60-89-9,-7.40871031962,-8.7,1.29128968038
40,2,60-12-8,-6.377561623,-6.4,0.0224383769974
40,3,15310-01-7,-6.50362025333,-8.2,1.69637974667
40,4,65-71-4,-6.95375328355,-6.0,0.953753283553
40,5,79-34-5,-7.01017943506,-4.0,3.01017943506
40,6,1540-35-8,-8.79398595041,-5.6,3.19398595041
40,7,76-14-2,-7.91052819069,-5.2,2.71052819069
40,8,691-37-2,-9.08129880641,-4.4,4.68129880641
40,9,103-36-6,-8.74175838875,-7.3,1.44175838875
40,10,52-31-3,-6.34821917779,-8.9,2.55178082221
40,11,583-53-9,-5.86442777527,-6.1,0.235572224731
40,12,581-42-0,-6.381758477,-7.3,0.918241523005
40,13,124-48-1,-5.70500003419,-3.3,2.40500003419
40,14,117-89-5,-6.88599696771,-9.3,2.41400303229
40,15,100-52-7,-6.09250340063,-6.1,0.00749659936946
40,16,38380-02-8,-7.74528117399,-6.4,1.34528117399
40,17,94-12-2,-7.19564380995,-7.6,0.404356190055
40,18,3424-82-6,-8.36805146199,-7.2,1.16805146199
40,19,121-34-6,-7.15012249567,-6.4,0.750122495667
40,20,52-31-3,-6.05738453922,-8.9,2.84261546078
40,21,495-69-2,-9.49908566341,-7.4,2.09908566341
40,22,3424-82-6,-7.23017587587,-7.2,0.0301758758687
40,23,496-11-7,-8.18462272116,-7.0,1.18462272116
40,24,684-93-5,-10.2670417472,-4.4,5.86704174724
40,25,541-33-3,-8.3223790573,-4.2,4.1223790573
40,26,99-87-6,-5.66682742116,-7.0,1.33317257884
40,27,589-55-9,-5.9006789577,-5.2,0.700678957703
40,28,100-68-5,-7.8318285031,-5.8,2.0318285031
40,29,1177-87-3,-8.33032056235,-5.1,3.23032056235
40,30,123-66-0,-7.68926430322,-5.7,1.98926430322
40,31,120-12-7,-5.89747604176,-7.8,1.90252395824
40,32,92-24-0,-8.39486669193,-8.2,0.194866691932
40,33,5392-40-5,-7.40603048967,-7.0,0.40603048967
40,34,95-47-6,-8.53816199145,-6.4,2.13816199145
40,35,13476-55-6,-6.91105221645,-8.0,1.08894778355
40,36,63-05-8,-8.30586475622,-6.0,2.30586475622
40,37,99-94-5,-7.5478647088,-6.6,0.947864708804
40,38,591-49-1,-7.05358849255,-5.9,1.15358849255
40,39,60-87-7,-7.28169945174,-8.2,0.918300548259
40,40,123-72-8,-7.01187140428,-4.2,2.81187140428
40,41,551-06-4,-10.0851075077,-8.1,1.98510750774
40,42,95-47-6,-7.12277906687,-6.4,0.722779066869
40,43,85-41-6,-8.99315990709,-7.6,1.39315990709
40,44,68-94-0,-8.97351218284,-5.8,3.17351218284
40,45,591-07-1,-6.70656164796,-4.8,1.90656164796
40,46,691-37-2,-8.74110138924,-4.4,4.34110138924
40,47,98-89-5,-6.75061441883,-6.2,0.550614418831
40,48,87-72-9,-7.25283537708,-5.1,2.15283537708
40,49,96-88-8,-8.5850082206,-6.5,2.0850082206
50,0,94-12-2,-6.36275909344,-7.6,1.23724090656
50,1,27314-13-2,-6.34400258461,-7.6,1.25599741539
50,2,583-53-9,-6.46396536659,-6.1,0.363965366593
50,3,38380-02-8,-8.57615330849,-6.4,2.17615330849
50,4,103-33-3,-8.19916758419,-9.0,0.800832415807
50,5,96-12-8,-6.29746235667,-3.8,2.49746235667
50,6,591-07-1,-7.25203228794,-4.8,2.45203228794
50,7,584-02-1,-6.49556165612,-4.4,2.09556165612
50,8,86-87-3,-6.76325993017,-9.1,2.33674006983
50,9,123-25-1,-7.427359307,-5.7,1.727359307
50,10,618-51-9,-7.51254646468,-6.3,1.21254646468
50,11,2432-21-5,-6.11919522167,-6.4,0.280804778333
50,12,52663-62-4,-8.39004095327,-4.8,3.59004095327
50,13,102-76-1,-6.13542281927,-6.4,0.264577180731
50,14,57-43-2,-7.01525706541,-7.7,0.684742934587
50,15,13476-55-6,-6.41786543288,-8.0,1.58213456712
50,16,2051-62-9,-10.3641921717,-7.6,2.76419217166
50,17,97-23-4,-6.48754649734,-7.6,1.11245350266
50,18,34123-59-6,-8.2125502076,-6.7,1.5125502076
50,19,52663-62-4,-8.54917754151,-4.8,3.74917754151
50,20,544-63-8,-8.4258531904,-6.6,1.8258531904
50,21,38380-02-8,-7.32454276815,-6.4,0.924542768147
50,22,592-41-6,-5.30783928595,-4.5,0.807839285948
50,23,13476-55-6,-6.43900535139,-8.0,1.56099464861
50,24,60-87-7,-8.50272309578,-8.2,0.302723095779
50,25,85-41-6,-8.89674993217,-7.6,1.29674993217
50,26,75-27-4,-5.97709221107,-3.3,2.67709221107
50,27,52-31-3,-6.50268092007,-8.9,2.39731907993
50,28,495-69-2,-8.71509090014,-7.4,1.31509090014
50,29,97-59-6,-6.58568661154,-6.1,0.485686611537
50,30,4248-20-8,-6.79128354678,-5.9,0.891283546777
50,31,1125-84-4,-7.24562405028,-5.9,1.34562405028
50,32,581-42-0,-8.07578191387,-7.3,0.775781913866
50,33,2051-62-9,-8.25309773158,-7.6,0.653097731575
50,34,85-41-6,-8.83953329033,-7.6,1.23953329033
50,35,691-37-2,-8.93488962414,-4.4,4.53488962414
50,36,57-43-2,-6.328781356,-7.7,1.371218644
50,37,94-12-2,-6.09968213958,-7.6,1.50031786042
50,38,38380-02-8,-9.02217570257,-6.4,2.62217570257
50,39,2136-99-4,-7.19246220841,-4.5,2.69246220841
50,40,111-44-4,-8.4280661714,-4.1,4.3280661714
50,41,100-52-7,-6.64426934207,-6.1,0.544269342068
50,42,117-81-7,-6.89866755898,-8.0,1.10133244102
50,43,52663-62-4,-7.36319100148,-4.8,2.56319100148
50,44,38380-02-8,-8.33279730089,-6.4,1.93279730089
50,45,584-02-1,-6.00058452581,-4.4,1.60058452581
50,46,100-75-4,-6.80656178367,-5.9,0.90656178367
50,47,691-37-2,-8.63412492179,-4.4,4.23412492179
50,48,52704-70-8,-6.465627617,-4.7,1.765627617
50,49,79-57-2,-7.87046518392,-4.6,3.27046518392
